Observation,HHSEX,AGE,EDUC,MARRIED,KIDS,LF,FAMSTRUCT,RACE,FOODHOME,FOODAWAY,FOODDELV,INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,SSRETINC,TRANSFOTHINC,PENACCTWD,NORMINC,SAVED,BNKRUPLAST5,KNOWL
176,2,21,9,2,0,1,2,5,1800,480,0,6541.631246,10126.36416,0,0,0,0,3888.523837,0,17417.34635,1,0,5
177,1,51,8,1,0,1,5,1,3600,240,0,14784.49167,11746.58242,2551.843768,0,0,0,0,0,14784.49167,0,0,9
178,1,59,14,1,1,1,4,1,6096,9480,0,9302078.116,710870.7639,917651.12,2304557.955,3943206.203,0,0,0,9302078.116,1,0,10
179,1,32,9,1,0,1,5,1,5400,2400,0,106326.8237,106326.8237,0,0,0,0,0,0,106326.8237,1,0,8
180,1,60,14,1,0,1,5,1,9600,3600,0,453661.1143,0,255184.3768,0,0,104706.6054,0,0,453661.1143,1,0,10
181,1,58,9,2,1,1,1,1,9600,24000,0,5038878.805,1316427.341,3544227.456,149465.135,0,0,0,0,5038878.805,1,0,8
182,2,50,8,2,0,1,2,1,2080,120,0,0,0,-9.113727743,0,0,0,-9.113727743,0,121516.3699,0,0,8
183,2,71,12,2,0,0,3,1,3600,1200,0,84048.82252,0,40910.5112,2294.634118,0,41113.03848,0,3000,84048.82252,1,0,8
184,1,58,8,1,1,1,4,1,3600,0,0,50429.29351,20860.31017,0,0,0,31391.72889,0,0,55492.47559,0,1,10
185,1,32,10,2,0,1,2,1,1200,600,0,7169.465824,7189.718553,0,0,0,0,0,0,7169.465824,0,0,9
186,1,55,7,1,0,1,5,1,9600,1200,0,328094.1987,125971.9701,0,194223.6646,7999.827685,0,0,0,125566.9156,1,0,6
187,1,72,14,1,0,1,5,5,2400,2600,0,294677.197,55289.94831,0,36799.20735,-3037.909248,210628.3745,0,153400,294677.197,1,0,10
188,2,67,9,2,0,1,3,1,7200,1200,0,4050.545663,0,-5063.182079,8.101091327,0,9113.727743,0,0,25315.9104,0,0,5
189,2,69,12,2,0,0,3,1,18000,2400,0,333157.3808,0,313654.0034,0,0,0,0,0,333157.3808,1,0,8
190,1,58,12,1,0,1,5,1,3600,2400,0,67239.05801,62783.45778,0,0,0,0,4759.391155,0,91137.27743,1,0,7
191,1,30,13,1,0,1,5,5,12000,9600,0,111390.0057,111390.0057,0,0,0,0,0,0,111390.0057,0,0,9
192,1,57,9,1,2,0,4,1,7200,600,0,111390.0057,30379.09248,0,0,0,81010.91327,0,80000,111390.0057,1,0,7
193,1,47,12,1,0,1,5,1,10800,2400,0,101263.6416,101263.6416,0,0,0,0,0,0,101263.6416,1,0,10
